length	Evalue	attribute
60.2 	263	other
6.0 	47	other
6.9 	42	other
188.3 	291	nifK
5.2 	37	other
10.1 	45	other
189.4 	292	nifK
6.1 	61	other
6.9 	51	other
6.9 	39	other
5.5 	40	other
5.5 	24	other
7.8 	43	other
7.8 	42	other
6.0 	26	other
56.1 	268	other
6.7 	41	other
7.7 	35	other
6.1 	31	other
6.0 	42	other
6.8 	50	other
8.1 	38	other
10.1 	62	other
10.1 	28	other
56.7 	268	other
5.4 	41	other
5.4 	55	other
55.1 	272	other
5.5 	39	other
8.3 	43	other
8.3 	29	other
7.6 	42	other
7.6 	25	other
5.6 	56	other
9.9 	55	other
9.9 	35	other
10.9 	46	other
5.5 	35	other
58.2 	273	other
9.7 	48	other
8.4 	123	other
6.6 	49	other
5.6 	42	other
7.0 	36	other
7.0 	42	other
8.0 	73	other
7.9 	54	other
7.6 	42	other
7.7 	39	other
8.9 	39	other
5.4 	39	other
7.6 	42	other
7.6 	75	other
57.1 	269	other
5.7 	32	other
5.5 	42	other
6.4 	36	other
6.7 	42	other
8.6 	32	other
8.6 	48	other
8.6 	47	other
7.3 	60	other
7.3 	27	other
53.8 	266	other
9.1 	35	other
5.3 	32	other
5.3 	49	other
58.6 	263	other
5.4 	37	other
59.1 	263	other
5.3 	42	other
7.1 	44	other
7.1 	52	other
59.5 	263	other
6.2 	43	other
58.5 	247	other
7.1 	46	other
6.8 	50	other
7.6 	42	other
7.6 	25	other
8.3 	43	other
8.3 	29	other
5.5 	39	other
55.1 	272	other
5.6 	56	other
5.0 	38	other
5.0 	14	other
7.3 	50	other
7.3 	51	other
6.8 	44	other
6.8 	46	other
57.4 	257	other
58.1 	263	other
5.7 	43	other
7.7 	39	other
6.9 	59	other
6.5 	37	other
6.5 	39	other
7.3 	57	other
7.3 	8	other
182.9 	287	nifK
7.2 	37	other
56.9 	271	other
7.4 	57	other
7.4 	28	other
182.9 	287	nifK
6.3 	33	other
7.1 	57	other
9.5 	51	other
56.7 	266	other
7.1 	38	other
7.1 	42	other
5.9 	39	other
10.6 	45	other
10.6 	23	other
8.8 	122	other
7.7 	41	other
7.7 	17	other
54.8 	273	other
5.8 	41	other
5.8 	35	other
6.8 	43	other
6.8 	3	other
6.0 	46	other
178.6 	287	nifK
6.2 	42	other
6.2 	52	other
7.4 	46	other
7.4 	51	other
5.4 	44	other
58.1 	247	other
58.1 	263	other
5.5 	46	other
58.5 	263	other
5.5 	42	other
5.5 	30	other
59.5 	263	other
6.1 	43	other
58.2 	262	other
5.3 	42	other
7.5 	50	other
7.5 	53	other
57.3 	262	other
5.5 	45	other
180.0 	292	other
6.6 	33	other
5.5 	41	other
11.3 	43	other
11.3 	24	other
7.5 	48	other
7.7 	44	other
7.7 	30	other
5.6 	40	other
5.6 	34	other
8.4 	37	other
5.6 	43	other
55.8 	269	other
5.6 	40	other
5.8 	37	other
5.8 	72	other
58.4 	263	other
5.2 	39	other
5.0 	31	other
5.0 	46	other
8.0 	38	other
56.6 	273	other
7.3 	32	other
7.3 	36	other
6.6 	61	other
